iter	Logloss
393	0.3817286319
394	0.3816050885
395	0.3815585623
396	0.3815214258
397	0.3814935907
398	0.3814594909
399	0.3814127298
400	0.381280217
401	0.3812513456
402	0.381170908
403	0.3811281204
404	0.3810485948
405	0.3810239491
406	0.3809962382
407	0.3809001893
408	0.380790513
409	0.3807686055
410	0.3807037203
411	0.3806673779
412	0.3806358583
413	0.3806317543
414	0.3805979294
415	0.3805734713
416	0.3805483516
417	0.3805383038
418	0.3804874991
419	0.3804654389
420	0.3804279099
421	0.3803472138
422	0.3803026713
423	0.3802429766
424	0.3801788302
425	0.3801345047
426	0.3800896313
427	0.380055417
428	0.3800117601
429	0.3799735854
430	0.3799051106
431	0.3798719368
432	0.3798222604
433	0.3797209128
434	0.3797168368
435	0.3796909161
436	0.3796606328
437	0.3796236601
438	0.3795807931
439	0.3795542063
440	0.3795222615
441	0.3794938256
442	0.3794663094
443	0.3794207536
444	0.3793954244
445	0.3793578434
446	0.3793103209
447	0.379278281
448	0.3792434995
449	0.3791609082
450	0.3791019461
451	0.3790730734
452	0.3790580308
453	0.3790238076
454	0.3789915303
455	0.3789208338
456	0.3788232743
457	0.378770848
458	0.3787308926
459	0.3786841194
460	0.3785993151
461	0.3785419669
462	0.378498997
463	0.3784404743
464	0.3783966246
465	0.3783675597
466	0.378337071
467	0.3783166273
468	0.3782542939
469	0.3782128358
470	0.3781322152
471	0.3780799812
472	0.3780524927
473	0.378023587
474	0.3779896695
475	0.3779334603
476	0.3778963914
477	0.3778594964
478	0.3778221149
479	0.3777527321
480	0.37773189
481	0.3776742066
482	0.3776397966
483	0.3776131918
484	0.3775881053
485	0.3775587379
486	0.3774783492
487	0.3774519357
488	0.3774044971
489	0.3773761405
490	0.3773475351
491	0.377324401
492	0.3772988354
493	0.3772481283
494	0.3771801053
495	0.3771346116
496	0.3770990065
497	0.3770061641
498	0.3769767547
499	0.3768669802
