iter	Logloss
0	0.6488406555
1	0.6094786346
2	0.5747592762
3	0.5487497512
4	0.5279665605
5	0.5168056259
6	0.5054601028
7	0.4930201055
8	0.4837253191
9	0.4782648587
10	0.473077265
11	0.4637140135
12	0.4588885271
13	0.4517147089
14	0.4488350776
15	0.4470815129
16	0.4439611383
17	0.4413676731
18	0.439008911
19	0.4374638827
20	0.4360025048
21	0.4343451129
22	0.4331198529
23	0.4308354981
24	0.4298735317
25	0.4288119223
26	0.4280736287
27	0.4262051972
28	0.424967969
29	0.423032526
30	0.4220490397
31	0.4213108126
32	0.4206780887
33	0.4197691386
34	0.4191794545
35	0.4182084147
36	0.4174211314
37	0.4167075806
38	0.4161429316
39	0.4156744494
40	0.4152146325
41	0.4146146783
42	0.4141764972
43	0.4137875078
44	0.4133885636
45	0.4131358999
46	0.4123581591
47	0.411994072
48	0.4117736124
49	0.4113726653
50	0.4110988743
51	0.4105818031
52	0.4104203407
53	0.410131061
54	0.4097234078
55	0.4095009984
56	0.4093570157
57	0.4091280582
58	0.4089496546
59	0.4087785102
60	0.4086226765
61	0.4084479563
62	0.4080190497
63	0.4078622179
64	0.4077048835
65	0.4074891203
66	0.4073497155
67	0.4071067323
68	0.4068868995
69	0.4067111333
70	0.4065059668
71	0.406320474
72	0.4061136782
73	0.4057727647
74	0.4056645146
75	0.4053900076
76	0.4052178688
77	0.4051882903
78	0.4050422346
79	0.4049241753
80	0.4047665437
81	0.4046197227
82	0.4044625744
83	0.4042732775
84	0.4040845925
85	0.4040105912
86	0.4038841082
87	0.4036623599
88	0.4035381157
89	0.4034333331
90	0.4033103668
91	0.403039959
92	0.4029402583
93	0.402756262
94	0.4026489422
95	0.4024579657
96	0.4023447184
97	0.402111403
98	0.402003118
99	0.4018849976
100	0.401772925
101	0.4016825616
102	0.4016060654
103	0.4014989782
104	0.4013442455
105	0.401251748
106	0.4011617805
107	0.4010506036
108	0.4009212068
109	0.4008065669
110	0.4006907973
111	0.4005517299
112	0.4004586051
113	0.4003427817
114	0.4002634527
115	0.4001597668
116	0.4000359008
117	0.3999384705
118	0.3998438819
119	0.3996156469
120	0.3995239711
121	0.399422721
122	0.3993552008
123	0.3992774483
124	0.3990971847
125	0.3990126276
126	0.3987152929
127	0.3986381124
128	0.39855221
129	0.3984598558
130	0.3983520268
131	0.3982135655
132	0.3981432093
133	0.3980680201
134	0.3979801177
135	0.3978938463
136	0.3978395147
137	0.397680934
138	0.3976194321
139	0.397561066
140	0.3974449882
141	0.3972973102
142	0.3971972423
143	0.3971220095
144	0.3970525081
145	0.3969794071
146	0.3968835139
147	0.3968208288
148	0.3966751435
149	0.3966132024
150	0.3965440292
151	0.3963876472
152	0.3962257579
153	0.3961673453
154	0.3961119238
155	0.3960444151
156	0.3959451819
157	0.3959050166
158	0.3958236968
159	0.395774339
160	0.3957303923
161	0.3956706525
162	0.395464795
163	0.3953953602
164	0.3952899632
165	0.3951914947
166	0.3951005105
167	0.3950256407
168	0.3949077298
169	0.3948531369
170	0.3948059747
171	0.3947601867
172	0.3946820032
173	0.3945962806
174	0.3945379098
175	0.3944587698
176	0.3943020418
177	0.3942578771
178	0.3941802105
179	0.3941202563
180	0.3940328325
181	0.393950935
182	0.3938220834
183	0.393692409
184	0.3936276258
185	0.3935417861
186	0.3934494675
187	0.393376279
188	0.3932848792
189	0.3932171435
190	0.3931754015
191	0.3930711685
192	0.3929970523
193	0.392883151
194	0.3928141927
195	0.3927517247
196	0.3926333279
197	0.3925661962
198	0.3925378692
199	0.3924459804
200	0.3924192588
201	0.3923592778
202	0.3923165224
203	0.3922627843
204	0.3921991043
205	0.3921508864
206	0.3920824929
207	0.3920324086
208	0.3919697489
209	0.3919177385
210	0.3918136596
211	0.391778464
212	0.3917154391
213	0.3916782143
214	0.3916362211
215	0.3915984232
216	0.3915746218
217	0.3914240423
218	0.3913169589
219	0.3912519229
220	0.3911829578
221	0.3911106048
222	0.3909918756
223	0.3909090802
224	0.3908703371
225	0.3907843821
226	0.3907469054
227	0.3906950737
228	0.3906405571
229	0.3906100769
230	0.3905598942
231	0.3904616963
232	0.3904065151
233	0.3903332125
234	0.3902213175
235	0.3901511136
236	0.3900814786
237	0.3900201999
238	0.3899685327
239	0.3899062594
240	0.389851741
241	0.3897319058
242	0.3896948088
243	0.3896247317
244	0.3895706755
245	0.3895166804
246	0.3894733165
247	0.3893975813
248	0.3893319052
249	0.389293013
250	0.3891893293
251	0.3891395166
252	0.3890601445
253	0.3889962693
254	0.388926669
255	0.3888712677
256	0.3888024088
257	0.3887694824
258	0.3887083806
259	0.3886508298
260	0.3886036145
261	0.3885549935
262	0.3885109114
263	0.3884659411
264	0.3884039095
265	0.3883865357
266	0.3883297971
267	0.3882608962
268	0.3882291199
269	0.3881695379
270	0.3881277287
271	0.3880315973
272	0.3879775306
273	0.387939402
274	0.3878420059
275	0.38778875
276	0.3876508843
277	0.3875908799
278	0.387495642
279	0.3874446941
280	0.3873817274
281	0.3873304709
282	0.3872761803
283	0.3872261769
284	0.3872043139
285	0.3871804933
286	0.3871427193
287	0.387094488
288	0.3869877623
289	0.3869266799
290	0.3868908656
291	0.3868713771
292	0.3868184558
293	0.3868043574
294	0.3867465648
295	0.3866846696
296	0.3866337335
297	0.386578083
298	0.3865267264
299	0.3864849047
300	0.3864329531
301	0.3863902508
302	0.3863208384
303	0.3862133358
304	0.3861624739
305	0.3861128436
306	0.3860842007
307	0.3860431577
308	0.3859985234
309	0.3859559776
310	0.3859175277
311	0.3858788488
312	0.3857801332
313	0.3856884301
314	0.385638355
315	0.3855992191
316	0.3855598262
317	0.385514907
318	0.3854827353
319	0.385440421
320	0.3853882505
321	0.3853296213
322	0.3853251105
323	0.3852905664
324	0.385269841
325	0.3852204571
326	0.3851638188
327	0.3851225566
328	0.3850667501
329	0.3850258037
330	0.3849732758
331	0.3849267742
332	0.3848183357
333	0.3847301157
334	0.3846995474
335	0.3846386815
336	0.3845959561
337	0.3845598381
338	0.384507854
339	0.3844645211
340	0.3844289692
341	0.3843260962
342	0.3842779836
343	0.3842284255
344	0.3841877435
345	0.3841495938
346	0.3841058423
347	0.3839948308
348	0.38393758
349	0.3838948975
350	0.3838230336
351	0.3837861501
352	0.3837397367
353	0.3836668894
354	0.3836370634
355	0.3835998587
356	0.3835676957
357	0.3835327735
358	0.3834829813
359	0.3834287887
360	0.3833977085
361	0.3832748501
362	0.3832140022
363	0.3831386673
364	0.3830753369
365	0.3830238957
366	0.3829803925
367	0.3829296636
368	0.3828665856
369	0.3827816409
370	0.3827304896
371	0.3826911449
372	0.3826659636
373	0.3826189808
374	0.3825829937
375	0.3824322534
376	0.3823603725
377	0.3823080823
378	0.3822761315
379	0.3822469739
380	0.3822289032
381	0.3821918489
382	0.3821456562
383	0.3821087176
384	0.3820401996
385	0.3820111472
386	0.3819584666
387	0.3819278194
388	0.381894639
389	0.381858499
390	0.3817925105
391	0.3817750404
392	0.381758703
